category,events,points,tid,tname,tc,tbc,tbd
A,7,164,4,BRT,ffffff,050505,ff8100
A,4,84,1576,&Oslash;VB,ffffff,0073b7,ffffff
A,2,57,6431,CIZL,ffffff,0073b7,ffffff
A,2,50,2298,Rowe & King,ffffff,2b5bb8,2fba4e
A,2,46,2105,Cannondale/4iiii,0d0d0d,eef2f5,f27a0b
A,2,42,588,Team Italy,dd4b39,ffffff,00a65a
A,2,42,10,TFC,111111,f3f300,111111
A,1,42,4630,TugaZ,ffffff,ff1f00,33735b
A,1,39,1835,V.C SPUTNIK,ffffff,0073b7,ffffff
A,3,36,3029,SJBC,ffffff,0073b7,ffffff
A,1,35,3282,POAUTO,004080,89cff0,f2740b
A,2,34,3751,Dutch Racing,121212,fc6719,121212
A,1,34,5303,ReC1910,ffffff,0073b7,ffffff
A,1,34,90,Vikings,c2c2c2,0073b7,ee6331
A,1,33,6750,PHNX,ffffff,0073b7,ffffff
A,1,31,975,Innovation,000000,52ff33,000000
A,1,31,5743,Nopinz Symec,ffffff,d6428e,000000
A,1,31,7108,KMC,ffffff,0073b7,ffffff
A,1,31,5548,ARRODA,ffffff,0073b7,ffffff
A,1,27,3265,1D,faf8f8,7a4988,000000
A,1,27,5235,VCK,ffffff,000000,ffffff
A,1,25,5983,Relentless,e5eb0f,080808,9e39c7
A,1,25,2191,EVO,ff8329,6c47ff,ffffff
A,2,24,41,RuhrRiders,ff8700,000000,5cb0fc
A,1,23,2281,TeamNL,ffffff,ffa500,ffa500
A,1,21,5459,KWCC,f01f1f,101112,ffffff
A,1,21,3667,026,ffffff,0073b7,ffffff
A,1,19,60,TBR Racing,ffffff,0073b7,ffffff
A,1,19,5825,VRM,0000ff,ff00e9,000000
A,2,18,3030,V&Oslash;ST RT,ffffff,ff1b1b,ffffff
A,1,17,2571,Equipe JZQc,ffffff,003399,ffffff
A,1,15,2936,Team 63.8N,ffffff,9a0606,000000
A,1,15,3563,Team DBC,000000,ff820c,14c5c2
A,1,15,1986,DBR,ffffff,eb7b2a,ffffff
A,1,15,2740,Team CRYO-GEN,ffffff,0073b7,ffffff
A,3,13,2722,Hitchin Nomads,ffffff,0073b7,ffffff
A,1,13,6084,ZWZR,ffffff,7d2248,ce0058
A,2,12,7266,BCC-A,ffffff,0073b7,ffffff
A,1,11,3901,Vel&oacute;Elite,ffffff,589c25,000000
A,1,11,1887,EH*,ffffff,0073b7,ffffff
A,1,9,6185,TRICT,ffffff,0073b7,ffffff
A,1,9,2707,DIRT,29ec34,211208,df6a0d
A,1,9,6446,CTCR,ffffff,0073b7,ffffff
A,1,8,4397,HEINO RT,ffffff,ff0000,ff3b3b
A,2,7,5578,Poole Wheelers,e7ff00,ff0000,000000
A,1,7,4811,Every Man Jack,ffffff,0073b7,ffffff
A,1,5,2991,KIRCHMAIR e-Cycling,210606,f2e80d,000103
B,22,777,4,BRT,ffffff,050505,ff8100
B,11,248,7266,BCC-A,ffffff,0073b7,ffffff
B,4,107,6431,CIZL,ffffff,0073b7,ffffff
