category,events,points,tid,tname,tc,tbc,tbd
A,5,230,629,Team AHDR,fc6955,55d4fc,ffffff
A,4,173,2740,Team CRYO-GEN,ffffff,0073b7,ffffff
A,3,133,2672,REVO,fc00e3,000000,fc00e3
A,1,50,5632,RR 2020,ffffff,0073b7,ffffff
A,1,40,2298,Rowe & King,ffffff,2b5bb8,2fba4e
A,1,40,161,ZSUN,ffffff,0073b7,ffffff
B,13,313,2672,REVO,fc00e3,000000,fc00e3
B,8,298,2740,Team CRYO-GEN,ffffff,0073b7,ffffff
B,4,156,1677,Team Fearless,001f3f,39cccc,01ff70
B,4,119,161,ZSUN,ffffff,0073b7,ffffff
B,1,33,1426,Team CLS,3d9970,ffffff,ffffff
B,1,25,1940,Vixen/Fox,7409a6,f79d4b,ffffff
B,1,25,4,BRT,ffffff,050505,ff8100
C,12,352,2740,Team CRYO-GEN,ffffff,0073b7,ffffff
C,6,258,1677,Team Fearless,001f3f,39cccc,01ff70
C,12,225,2672,REVO,fc00e3,000000,fc00e3
C,8,214,4,BRT,ffffff,050505,ff8100
C,5,156,161,ZSUN,ffffff,0073b7,ffffff
C,2,41,1426,Team CLS,3d9970,ffffff,ffffff
C,1,33,629,Team AHDR,fc6955,55d4fc,ffffff
C,1,20,1940,Vixen/Fox,7409a6,f79d4b,ffffff
C,1,19,1845,VEGAN,ffffff,00a65a,0adb2c
D,6,290,2740,Team CRYO-GEN,ffffff,0073b7,ffffff
D,5,181,1677,Team Fearless,001f3f,39cccc,01ff70
D,2,90,2672,REVO,fc00e3,000000,fc00e3
D,2,90,1986,DBR,ffffff,eb7b2a,ffffff
D,1,50,161,ZSUN,ffffff,0073b7,ffffff
D,1,33,4,BRT,ffffff,050505,ff8100
