category,events,points,tid,tname,tc,tbc,tbd
A,6,122,4,BRT,ffffff,050505,ff8100
A,1,31,975,Innovation,000000,52ff33,000000
A,1,29,35,BZR cycling team,f3f300,111111,dd4b39
A,1,26,3003,Groove SES,ffffff,0073b7,ffffff
A,1,25,2,Team X,f5f7f6,111111,00a65a
A,1,23,2722,Hitchin Nomads,ffffff,0073b7,ffffff
A,1,21,2601,GPN,ffffff,0073b7,ffffff
A,1,17,1845, VEGAN ,ffffff,00a65a,0adb2c
A,1,15,1,PTz,ffffff,403d3a,e3680f
A,1,13,2707,DIRT,29ec34,563c0f,df6a0d
A,1,11,2571,Equipe JZQc,ffffff,003399,ffffff
A,1,9,3574,Organicsport.dk ,ffffff,5b9e1f,ffffff
A,1,7,3261,TriRun ,ffffff,0073b7,ffffff
A,1,7,1986,DBR,ffffff,eb7b2a,ffffff
A,1,3,1330,teamWKG,fa5e06,3f4c54,3f4c54
B,15,372,4,BRT,ffffff,050505,ff8100
B,2,72,2707,DIRT,29ec34,563c0f,df6a0d
B,1,63,2422,TCK,ffffff,00a1e0,00a1e0
B,1,45,538,DKZR,ffffff,ff0202,d1d1d1
B,1,42,90,Vikings,c2c2c2,0073b7,ee6331
B,1,39,2257,Ride WLF,070807,f50a50,080101
B,1,37,10,TFC,111111,f3f300,111111
B,2,33,3369,IRL,ffffff,32968e,e66f1a
B,1,25,1986,DBR,ffffff,eb7b2a,ffffff
B,1,25,25,Team Poland,ffffff,ff1800,ff0000
B,1,21,3546,TCK,ffffff,004b74,ffffff
B,1,19,2146,ZESP,000000,fabd00,ad1519
B,1,17,2722,Hitchin Nomads,ffffff,0073b7,ffffff
B,1,17,1426,Team CLS,3d9970,ffffff,ffffff
B,1,13,2571,Equipe JZQc,ffffff,003399,ffffff
B,1,13,2394,YKR,ffff00,0094ff,01b7a8
B,1,11,35,BZR cycling team,f3f300,111111,dd4b39
C,6,198,4,BRT,ffffff,050505,ff8100
C,3,48,90,Vikings,c2c2c2,0073b7,ee6331
C,3,39,3334,Ely,ccff00,000000,e60505
C,1,31,10,TFC,111111,f3f300,111111
C,1,27,588,Team Italy,dd4b39,ffffff,00a65a
C,2,26,1986,DBR,ffffff,eb7b2a,ffffff
C,1,21,2390,SK RYE,ffffff,0073b7,ffffff
C,1,11,35,BZR cycling team,f3f300,111111,dd4b39
C,1,6,2722,Hitchin Nomads,ffffff,0073b7,ffffff
C,1,5,2146,ZESP,000000,fabd00,ad1519
D,1,18,4,BRT,ffffff,050505,ff8100
D,1,11,35,BZR cycling team,f3f300,111111,dd4b39
