category,events,points,tname,tid,tc,tbc,tbd,name,flag,zwid,podiums
B,2,8,PTz,1,ffffff,403d3a,e3680f,Sandra  Deegan,ca,60856,
B,1,8,GVR,3123,f51d1d,eaf901,000000,Julie Phelps,us,37354,
B,1,7,,,,,,Lorna Breetzke1875,,993332,
B,1,7,ZSUN,161,ffffff,0073b7,ffffff,Becky Rittner 4768,us,583890,
B,1,7,,0,00dd00,,,Caroline Selin,se,166443,
B,1,7,Vixen/Fox,1940,7409a6,f79d4b,ffffff,Ann. Barnes &#129418;,ca,178346,
B,2,6,REVO,2672,fc00e3,000000,fc00e3,Melanie Solmon [REVO] B,ca,292182,
B,1,6,ICC,2494,000000,f2a30b,210303,Liz Bridgen (Ilkeston CC),gb,490194,
B,1,5,ZSUN,161,ffffff,0073b7,ffffff,Karen Wu [ZSUUN/HERD],ca,595433,
B,1,5,,0,00dd00,,,Nina Gilljam,se,189774,
B,1,5,Vixen/Fox,1940,7409a6,f79d4b,ffffff,Sarah Thomas &#129418;,gb,34347,
B,1,5,BRT,4,ffffff,050505,ff8100,lynne parkinson1552,gb,553623,
B,1,4,REVO,2672,fc00e3,000000,fc00e3,Sil Cal [REVO] B1,ar,447517,
B,1,3,,,,,,Samo Samo,nl,800433,
B,1,3,REVO,2672,fc00e3,000000,fc00e3,Emma Brinkley [REVO] C,gb,470705,
B,1,3,,0,00dd00,,,Catherine Falardeau,ca,958044,
B,1,1,,,,,,Sophie R.,fr,988611,
C,6,167,BRT,4,ffffff,050505,ff8100,D. Barreto BRT Hellcatz,mx,581267,gold bronze bronze bronze silver
C,6,148,Vixen/Fox,1940,7409a6,f79d4b,ffffff,Deanna Solomon,ca,435347,bronze bronze
C,5,119,BRT,4,ffffff,050505,ff8100,Allison Held BRT Hellcatz ,gb,48061,bronze gold gold
C,6,118,BRT,4,ffffff,050505,ff8100,Melisande Reade,ie,540242,gold gold
C,6,108,Les Roberto,3470,f00202,f1f514,000000,C Chalou,ca,224992,
