category,zwid,events,points,league_id,pos,history,aid,zada,tname,tc,tbc,tbd,topen,fem,tid,reg,rank,name,flag
B,388544,2,47,59,13,,388544,0,,00dd00,,,,,0,1,,"Chuck Coyle",us
B,50735,6,46,59,14,,50735,0,TPA,ffffff,0073b7,001100,,,1849,1,,"Paddyatrick Adams",gb
A,74838,4,46,59,5,3,74838,0,ZHR,ff0000,03228c,03228c,,,1979,1,,"Luc  Louis Seize 9877",ca
A,78992,4,46,59,5,,78992,0,Race3R,000000,2bc3f4,ffffff,,,791,1,,"Jero Nefkens",nl
C,103632,3,46,59,2,,103632,0,BRT,ffffff,050505,ff8100,,,4,1,,"nigel albutt",gb
B,183605,2,45,59,15,3,183605,0,Vikings,c2c2c2,0073b7,ee6331,,,90,1,,"Espen Solvin",no
B,40108,3,44,59,16,,40108,0,BRT,ffffff,050505,ff8100,,,4,1,,"Peter Campbell",gb-eng
C,130703,3,43,59,3,1,130703,0,BRT,ffffff,050505,ff8100,,,4,1,,"Craig Christie BRT ",
B,247595,4,42,59,17,,247595,0,"Hitchin Nomads",ffffff,0073b7,ffffff,,,2722,1,,"Andy Hardy HNCC",gb
B,888434,2,42,59,17,,888434,0,TeamNL,ffffff,ffa500,ffa500,,,2281,1,,"Domrenner Mercurius",nl
C,174953,3,39,59,4,,174953,0,,00dd00,,,,,0,1,,"Gregg Alderman(C)",us
A,77016,5,38,59,7,2,77016,0,"Team SUI",ffffff,ff0017,ffffff,,,391,1,,"Rene Mrazek",ch
B,923151,2,38,59,19,,923151,0,,00dd00,,,,,0,1,,"Jason Leech ZHR B",ie
C,30856,6,37,59,5,2,30856,0,BRT,ffffff,050505,ff8100,,,4,1,,"Darren Green (BRT) - Team Zwatt",gb-eng
C,403218,2,37,59,5,3,403218,0,"Team CRYO-GEN",ffffff,0073b7,ffffff,,,2740,1,,"Steve Peers",gb
B,108873,2,36,59,20,2,108873,0,,00dd00,,,,,0,1,,"Gregor Kovac B",si
C,479132,3,36,59,7,,479132,0,"Hitchin Nomads",ffffff,0073b7,ffffff,,,2722,1,,"Olly  Oxton",gb
B,496345,2,36,59,20,1,496345,0,BRT,ffffff,050505,ff8100,,,4,1,,"Alexander Chatzakis ⚡️| 🏊🏽‍🚴🏽‍🏃🏽70.3| 🇳🇱🇬🇷",gr
B,744714,2,36,59,20,1,744714,0,"Team Type 1",ffffff,0073b7,ffffff,,,168,1,,"James Bailey TT1",gb
B,878973,2,36,59,20,3,878973,0,,00dd00,,,,,0,1,,"Andreas Jonsson3542",se
B,157534,2,35,59,24,,157534,0,,00dd00,,,,,0,1,,"Jim Timmer-Arends",au
B,482773,3,35,59,24,,482773,0,,00dd00,,,,,0,1,,"David Sharp",gb
B,514370,2,35,59,24,3,514370,0,BRT,ffffff,050505,ff8100,,,4,1,,"Phil Donnelly  [BRT]",gb
A,70690,3,34,59,8,2,70690,0,Innovation,ffffff,0073b7,ffffff,,,975,1,,"Mark Shaw",nz
C,226179,4,34,59,8,,226179,0,"Hitchin Nomads",ffffff,0073b7,ffffff,,,2722,1,,"Mark Loosley",gb
A,419921,4,34,59,8,,419921,0,,00dd00,,,,,0,1,,"Marcel Schubert",de
C,437032,3,33,59,9,,437032,0,,00dd00,,,,,0,1,,"Alan MacDonald",
B,917297,2,33,59,27,,917297,0,"Team Poland",ffffff,dd4b39,ffffff,,,25,1,,"J Sullivan",pl
A,191042,3,32,59,10,2,191042,0,,00dd00,,,,,0,1,,"Francisco Garrido",us
B,652272,5,32,59,28,,652272,0,BRT,ffffff,050505,ff8100,,,4,1,,"Francisco Arce BRT",za
B,168187,1,31,59,29,2,168187,0,TCK,ffffff,00a1e0,00a1e0,,,2422,1,,"Markus Amland",no
B,303556,3,31,59,29,1,303556,0,,00dd00,,,,,0,1,,"Martijn Van B Team Maaskant",nl
B,650272,1,31,59,29,1,650272,0,ZRG,1bc1f1,5b5b5b,1bc1f1,,,1942,1,,"Nico Schymanski",de
A,894741,5,31,59,11,,894741,0,,00dd00,,,,,0,1,,"Keith Robertson ",gb
A,942020,3,31,59,11,,942020,0,Go4Graham,ffffff,0073b7,ffffff,,,3253,1,,"Seth Stingley",us
B,42505,1,30,59,32,3,42505,0,BRT,ffffff,050505,ff8100,,,4,1,,"Jed Harrison BRT (B5)",gb
B,274786,1,30,59,32,2,274786,0,Vision,ffffff,2ea9e0,000000,,,9,1,,"Motti Pikelny",us
B,474223,2,30,59,32,3,474223,0,,00dd00,,,,,0,1,,"Phillip Morrison",ca
B,3720,1,29,59,35,1,3720,0,,00dd00,,,,,0,1,,"Rick Trudo ",us
B,100382,1,29,59,35,,100382,0,HIK,ffffff,0073b7,ffffff,,,719,1,,"Richard Doornbos",nl
B,172776,3,29,59,35,,172776,0,BRT,ffffff,050505,ff8100,,,4,1,,"Pete &quot;The Monk&quot; Murray",gb-eng
B,240297,1,29,59,35,3,240297,0,,00dd00,,,,,0,1,,"Manuel D. ",at
C,11445,2,28,59,10,2,11445,0,,00dd00,,,,,0,1,,"Nathan Race",us
C,48719,2,28,59,10,3,48719,0,,00dd00,,,,,0,1,,"Alain Drury",gb
B,263888,1,28,59,39,2,263888,0,,00dd00,,,,,0,1,,"André Mook",nl
A,308424,2,28,59,13,,308424,0,"Team Poland",ffffff,dd4b39,ffffff,,,25,1,,"Marcin Krzywonos",pl
B,453469,1,28,59,39,,453469,0,,00dd00,,,,,0,1,,"Tom21 Turner3998",us
B,745275,5,28,59,39,,745275,0,BRT,ffffff,050505,ff8100,,,4,1,,"Paul Hutchin",gb
B,28524,1,27,59,42,,28524,0,,00dd00,,,,,0,1,,"Rich Babbage",gb
B,65133,2,27,59,42,3,65133,0,TVZT,ffffff,212020,d93838,,,2887,1,,"Kevin Baumber",gb
B,142269,2,27,59,42,,142269,0,,00dd00,,,,,0,1,,"Stephen  Kelly",us
B,171186,2,27,59,42,,171186,0,CYKELMAGASINET,0f0f0f,36a7eb,0f0303,,,2127,1,,"Morten P (Gentofte CC)",dk
A,299246,2,27,59,14,,299246,0,,00dd00,,,,,0,1,,"Seb Kleb",de
B,303397,1,27,59,42,1,303397,0,,00dd00,,,,,0,1,,"Gerbert van den Biggelaar",nl
B,660464,2,27,59,42,3,660464,0,"BZR cycling team",f3f300,111111,dd4b39,,,35,1,,"Werner Loos ",be
B,708844,1,27,59,42,,708844,0,,00dd00,,,,,0,1,,"Joe Lillis",ie
A,12495,2,26,59,15,1,12495,0,"Team Italy",dd4b39,ffffff,00a65a,,,588,1,,"Alessandro Barra",it
