category,events,points,tid,tname,tc,tbc,tbd
A,3,40,791,Race3R,000000,2bc3f4,ffffff
A,2,28,4,BRT,ffffff,050505,ff8100
A,1,9,629,Team AHDR,fc6955,55d4fc,ffffff
A,1,9,2298,Rowe & King,ffffff,2b5bb8,2fba4e
A,1,7,1,PTz,ffffff,403d3a,e3680f
A,1,5,2740,Team CRYO-GEN,ffffff,0073b7,ffffff
B,3,37,4,BRT,ffffff,050505,ff8100
B,2,36,1330,teamWKG,fa5e06,3f4c54,3f4c54
B,1,23,3741,EBR,ffffff,0073b7,ffffff
B,1,21,3061,Ironworks,ffffff,0073b7,ffffff
B,1,7,2241,TSE,ffffff,0073b7,ffffff
B,1,5,10,TFC,111111,f3f300,111111
B,1,1,1,PTz,ffffff,403d3a,e3680f
C,8,78,4,BRT,ffffff,050505,ff8100
C,1,11,79,USMES,ffffff,0073b7,ffffff
