category,events,points,tid,tname,tc,tbc,tbd
A,2,20,3549,Team GIANT,000000,f70000,000000
A,1,10,9,Vision,ffffff,2ea9e0,000000
A,1,7,2291,NFCC,fcfcfc,d40707,14ab1a
A,1,7,709,CK Lunedi,ffffff,0073b7,ffffff
A,1,7,4351,CNDRBLK,000000,8ecfe8,f7b9b9
A,1,5,791,Race3R,000000,2bc3f4,ffffff
A,1,3,2758,AWCC,ffffff,0073b7,ffffff
A,1,1,4,BRT,ffffff,050505,ff8100
B,5,35,1,PTz,ffffff,403d3a,e3680f
B,1,18,3964,IndoorSpecialist,ffffff,1b4970,f7850e
B,1,15,1634,[DRAFT],ffffff,e60d2e,000000
B,1,11,3576,Beacon,ffffff,0073b7,ffffff
B,1,10,3185,FUSION DEVELOPMENT,ffffff,0a1e29,ffffff
B,1,10,3469,Holmenkollen CK,111e6c,f8dae5,111e6c
B,1,9,35,BZR cycling team,f3f300,111111,dd4b39
B,1,7,4595,Summit TT,040000,d8cc00,000000
B,1,7,2738,WATTBIKE,ffffff,000000,ff3535
B,1,7,10,TFC,111111,f3f300,111111
B,1,7,4,BRT,ffffff,050505,ff8100
B,1,7,9,Vision,ffffff,2ea9e0,000000
B,1,5,36,KISS RT,f56600,012350,84b7ca
B,1,5,632,CTWT,ffffff,0073b7,ffffff
B,1,1,90,Vikings,c2c2c2,0073b7,ee6331
B,1,1,2740,Team CRYO-GEN,ffffff,0073b7,ffffff
C,5,63,1426,Team CLS,3d9970,ffffff,ffffff
C,3,43,7,TeamODZ,ff851b,111111,3c8dbc
C,3,36,2888,VC10,ffffff,ff0000,ffffff
C,3,21,2740,Team CRYO-GEN,ffffff,0073b7,ffffff
C,2,18,1986,DBR,ffffff,eb7b2a,ffffff
C,1,18,2707,DIRT,29ec34,563c0f,df6a0d
C,1,18,1979,ZHR,ff0000,03228c,03228c
C,1,13,10,TFC,111111,f3f300,111111
C,1,13,791,Race3R,000000,2bc3f4,ffffff
C,1,11,2851,MEX-DF.,ffffff,0073b7,ffffff
C,1,7,2281,TeamNL,ffffff,ffa500,ffa500
C,1,5,4,BRT,ffffff,050505,ff8100
C,1,5,90,Vikings,c2c2c2,0073b7,ee6331
D,12,149,4,BRT,ffffff,050505,ff8100
D,6,89,2570,Walsall Lads,ffffff,0073b7,ffffff
D,2,33,4291,BadAss,ffffff,0073b7,ffffff
D,1,26,1979,ZHR,ff0000,03228c,03228c
D,1,21,2707,DIRT,29ec34,563c0f,df6a0d
D,2,20,25,TeamPL,ffffff,ff1800,ff0000
D,1,19,2740,Team CRYO-GEN,ffffff,0073b7,ffffff
D,1,18,3518,Team Echelon ,ff0f0f,ffffff,000000
D,1,18,9,Vision,ffffff,2ea9e0,000000
D,1,13,975,Innovation,000000,52ff33,000000
D,1,7,1942,ZRG,1bc1f1,5b5b5b,1bc1f1
