category,events,points,tid,tname,tc,tbc,tbd
A,11,80,4,BRT,ffffff,050505,ff8100
A,4,38,1940,Vixen/Fox,7409a6,f79d4b,ffffff
A,5,37,791,Race3R,000000,2bc3f4,ffffff
A,2,22,7,TeamODZ,ff851b,111111,3c8dbc
A,3,16,161,ZSUN,ffffff,0073b7,ffffff
A,2,12,629,Team AHDR,fc6955,55d4fc,ffffff
A,1,11,3087,Pronghorn ECT,000000,fff8f8,828080
A,1,11,3773,CIS/Ladies,ffffff,0073b7,ffffff
A,1,6,2672,REVO,fc00e3,000000,fc00e3
B,8,82,629,Team AHDR,fc6955,55d4fc,ffffff
B,9,68,4,BRT,ffffff,050505,ff8100
B,2,23,975,Innovation,000000,52ff33,000000
B,2,22,2672,REVO,fc00e3,000000,fc00e3
B,2,19,161,ZSUN,ffffff,0073b7,ffffff
B,1,14,4223,TRR,ffffff,0073b7,ffffff
B,1,8,7,TeamODZ,ff851b,111111,3c8dbc
C,14,169,161,ZSUN,ffffff,0073b7,ffffff
C,14,160,629,Team AHDR,fc6955,55d4fc,ffffff
C,7,63,1940,Vixen/Fox,7409a6,f79d4b,ffffff
C,3,37,2740,Team CRYO-GEN,ffffff,0073b7,ffffff
C,4,35,4,BRT,ffffff,050505,ff8100
C,1,10,2672,REVO,fc00e3,000000,fc00e3
C,1,8,4305,SCC,ffffff,0073b7,ffffff
C,1,8,391,Team SUI,ffffff,ff0017,ffffff
C,1,6,10,TFC,111111,f3f300,111111
C,1,6,168,Team Type 1,ffffff,0073b7,ffffff
D,7,68,1940,Vixen/Fox,7409a6,f79d4b,ffffff
D,2,22,2928,PACK,ffffff,000000,ff6600
D,2,19,2672,REVO,fc00e3,000000,fc00e3
D,1,11,629,Team AHDR,fc6955,55d4fc,ffffff
D,1,11,791,Race3R,000000,2bc3f4,ffffff
