category,events,points,tid,tname,tc,tbc,tbd
A,1,50,4056,PDQ,ffffff,000000,ffff00
A,1,50,32,Sz,f3f300,0073b7,f3f300
A,1,40,5769,TEAM  LU,ffffff,e81e1e,05131c
A,1,40,756,STW,ffffff,0073b7,ffffff
A,1,33,9894,SRAMcc,ffffff,0073b7,ffffff
A,1,28,1965,BIKES-FR,000000,f2ad00,000000
A,1,25,12020,Seamons CC,ffffff,0073b7,ffffff
A,1,22,4,BRT,ffffff,050505,ff8100
A,1,20,2834,FZR,0000ff,ffffff,0000ff
A,1,18,2281,TeamNL,ffffff,ffa500,ffa500
B,5,173,4,BRT,ffffff,050505,ff8100
B,3,98,4095,All,ffffff,0073b7,ffffff
B,2,73,9894,SRAMcc,ffffff,0073b7,ffffff
B,1,50,35,BZR cycling team,f3f300,111111,dd4b39
B,1,40,9167,Team - WP,000000,3699d2,915050
B,1,33,2539,Claricoast JEdCo,0067b5,ffffff,ee611a
B,2,29,588,Team Italy,dd4b39,ffffff,00a65a
B,1,28,2888,VC10,ffffff,ff0000,ffffff
B,1,22,3938,TNC,ffffff,0073b7,ffffff
B,1,22,2639,HERD,383c3d,fc6719,383c3d
B,1,20,9957,Biciobiker,ffffff,0073b7,ffffff
B,1,19,2707,DIRT,29ec34,563c0f,df6a0d
B,1,18,7201,HCZR,ffffff,0073b7,ffffff
B,1,14,90,Vikings,c2c2c2,0073b7,ee6331
C,3,93,168,Team Type 1,ffffff,0073b7,ffffff
C,3,91,12187,RTR,ffffff,ff0000,000000
C,2,47,4,BRT,ffffff,050505,ff8100
C,1,33,7423,England CC,ffffff,d24848,3b3b6b
C,1,25,3726,DelFlo,ffffff,800080,800080
C,1,22,3369,IRL,ffffff,000000,00b84a
C,1,15,1426,Team CLS,3d9970,ffffff,ffffff
C,1,15,8305,RSB,ffffff,0895eb,f51d1d
C,1,11,25,Team Poland,ffffff,ff1800,ff0000
D,1,40,4,BRT,ffffff,050505,ff8100
D,1,40,12187,RTR,ffffff,ff0000,000000
D,1,33,35,BZR cycling team,f3f300,111111,dd4b39
D,1,25,10683,PETA-Z,ff0000,ffff00,000000
D,1,22,2639,HERD,383c3d,fc6719,383c3d
