category,events,points,tid,tname,tc,tbc,tbd
A,7,154,4,BRT,ffffff,050505,ff8100
A,4,66,60,TBR Racing,ffffff,0073b7,ffffff
A,4,54,7266,BCC-A,ffffff,0073b7,ffffff
A,1,34,4330,Cardiac Athletes,ffffff,ff0000,ffffff
A,1,34,32,SZ,ffffff,285697,ffd700
A,1,31,975,Innovation,000000,52ff33,000000
A,1,29,843,MDCC,ffffff,0073b7,ffffff
A,1,27,393,BathCC,ffffff,0073b7,ffffff
A,1,27,5983,Relentless,e5eb0f,080808,9e39c7
A,1,25,2528,BEAT,000000,28bebe,000000
A,1,25,3751,Dutch Racing,121212,fc6719,121212
A,5,24,10959,SISU,ffffff,0073b7,ffffff
A,2,24,5073,RTSS,ffffff,007efa,ffffff
A,1,23,2740,Team CRYO-GEN,ffffff,009fe3,0c1e4f
A,1,21,1576,&Oslash;VB,ffffff,0073b7,ffffff
A,1,21,4630,TugaZ,ffffff,ff1f00,33735b
A,1,19,79,USMES,ffffff,0073b7,ffffff
A,2,17,9186,BCC - Bees,000000,fcfc01,000000
A,1,15,1986,DBR,ffffff,eb7b2a,ffffff
A,1,13,90,Vikings,c2c2c2,0073b7,ee6331
A,1,11,11157,Cycle Nation,c74343,000000,d9d9d9
A,1,9,10003,JETT,ff00ff,ffff00,00ff00
A,1,9,4393,EVASO eRT,ffffff,1d81a3,d46363
A,1,9,9293,PERTHES,ffffff,ec1717,ffffff
A,1,7,2707,DIRT,29ec34,211208,df6a0d
A,1,7,5607,ARCC,e01f1f,0073b7,ffffff
A,1,5,5895,TVT,ffffff,f50707,0865d6
A,1,1,1958,TEAM ZWC,f70f66,000000,ea0026
B,16,251,7266,BCC-A,ffffff,0073b7,ffffff
B,7,226,9186,BCC - Bees,000000,fcfc01,000000
B,4,128,2707,DIRT,29ec34,211208,df6a0d
B,3,125,791,Race3R,000000,2bc3f4,ffffff
B,1,49,10683,PETA-Z,ff0000,ffff00,000000
B,2,46,4446,Race Hub,ffffff,eb1c1c,030000
B,4,44,4,BRT,ffffff,050505,ff8100
B,1,43,2146,ZESP,000000,fabd00,ad1519
B,1,39,5001,CCMV,ffffff,0073b7,ffffff
B,1,37,5522,RAFCA,e81d1d,ffffff,0073b7
B,1,34,7514,BCR,ffffff,ee5835,151515
B,1,31,7221,SDW,000000,f3f300,ed1c1c
B,1,29,2894,KendalCCRacing,aed6f1,21618c,c0392b
B,1,27,1965,BIKES-FRANCE,000000,f2ad00,000000
B,1,21,1279,SLTC,ffffff,0073b7,ffffff
B,1,19,8870,VCUB,ffffff,0073b7,ffffff
B,1,17,7138,SP.team,ffffff,0073b7,ffffff
B,1,17,10209,Red Peloton,000000,ff0000,d6d6d6
B,2,16,4100,YORK,ffffff,0073b7,ffff00
B,1,15,6676,BUSTINSKIN,ef5000,000000,ef5300
B,1,15,5563,Zwaluwen,ffffff,119106,b81717
B,1,13,5952,Pembs Velo,2703bd,d910d9,2703bd
B,1,13,2363,KRS,ffffff,35b59e,000000
B,1,10,5524,UK Armed Forces,ffffff,4f213b,4f213b
B,1,3,7667,QRCC,ffffff,0073b7,ffffff
B,1,2,4200,OrkneyCC,de3232,0f0606,eb3636
C,16,326,9186,BCC - Bees,000000,fcfc01,000000
C,9,259,4,BRT,ffffff,050505,ff8100
C,4,34,7266,BCC-A,ffffff,0073b7,ffffff
C,1,34,1986,DBR,ffffff,eb7b2a,ffffff
C,1,34,10231,Islington CC,ffffff,001c3d,001c3d
C,1,33,90,Vikings,c2c2c2,0073b7,ee6331
C,1,21,10,TFC,111111,f3f300,111111
C,1,17,1458,CycleChat,ffffff,0073b7,ffffff
C,1,17,7,TeamODZ,ff851b,111111,3c8dbc
C,1,15,2672,REVO,fc00e3,000000,fc00e3
C,1,13,4630,TugaZ,ffffff,ff1f00,33735b
C,1,9,588,Team Italy,dd4b39,ffffff,00a65a
C,1,6,168,Team Type 1,ffffff,0073b7,ffffff
C,1,5,2281,TeamNL,ffffff,ffa500,ffa500
C,1,4,4355,Arg Team,ffffff,79bbec,000000
C,1,2,9829,VVRC,ffffff,0073b7,ffffff
D,2,28,1458,CycleChat,ffffff,0073b7,ffffff
D,2,23,4100,YORK,ffffff,0073b7,ffff00
D,1,15,3369,IRL,ffffff,000000,00b84a
D,1,11,4407,PP-PTY,ffffff,0073b7,ffffff
D,1,7,7423,England CC,ffffff,d24848,3b3b6b
D,1,7,7888,Army Cycling,ffffff,0073b7,ffffff
