category,events,points,tid,tname,tc,tbc,tbd
A,4,180,2740,Team CRYO-GEN,ffffff,0073b7,ffffff
A,2,100,629,Team AHDR,fc6955,55d4fc,ffffff
A,1,50,2298,Rowe & King,ffffff,2b5bb8,2fba4e
B,8,244,2740,Team CRYO-GEN,ffffff,0073b7,ffffff
B,2,83,4,BRT,ffffff,050505,ff8100
B,2,65,10,TFC,111111,f3f300,111111
B,4,64,2672,REVO,fc00e3,000000,fc00e3
B,2,58,36,KISS RT,f56600,012350,84b7ca
B,2,48,1940,Vixen/Fox,7409a6,f79d4b,ffffff
B,1,40,1979,ZHR,ff0000,03228c,03228c
B,1,28,4200,OrkneyCC,de3232,0f0606,eb3636
B,1,19,629,Team AHDR,fc6955,55d4fc,ffffff
B,1,15,90,Vikings,c2c2c2,0073b7,ee6331
B,1,14,1677,Team Fearless,001f3f,39cccc,01ff70
C,8,187,2740,Team CRYO-GEN,ffffff,0073b7,ffffff
C,4,152,4,BRT,ffffff,050505,ff8100
C,4,98,2672,REVO,fc00e3,000000,fc00e3
C,1,50,1940,Vixen/Fox,7409a6,f79d4b,ffffff
C,1,50,1426,Team CLS,3d9970,ffffff,ffffff
C,1,25,161,ZSUN,ffffff,0073b7,ffffff
C,1,19,3938,TNC,ffffff,0073b7,ffffff
D,5,208,2740,Team CRYO-GEN,ffffff,0073b7,ffffff
D,2,90,4,BRT,ffffff,050505,ff8100
D,2,83,1677,Team Fearless,001f3f,39cccc,01ff70
D,2,78,1940,Vixen/Fox,7409a6,f79d4b,ffffff
D,1,33,629,Team AHDR,fc6955,55d4fc,ffffff
