category,events,points,tname,tid,tc,tbc,tbd,name,flag,zwid,podiums
A,6,108,BRT,4,ffffff,050505,ff8100,Neil Linford-Relph [BRT],gb,522589,gold gold silver silver silver bronze
A,3,54,Vikings,90,c2c2c2,0073b7,ee6331,Maxim Golev [V],no,811341,bronze
A,1,35,,0,00dd00,,,Joshua Modert,us,584631,gold
A,1,32,Team CRYO-GEN,2740,ffffff,0073b7,ffffff,Dan Fleeman - Dig Deep Coaching,gb,49551,silver
A,2,32,Vikings,90,c2c2c2,0073b7,ee6331,Hans Petter  H&oslash;ydal,no,400699,silver silver
A,1,30,,0,00dd00,,,Matthew Wales,gb-eng,465473,bronze
A,1,27,Innovation,975,000000,52ff33,000000,Sean Vintin,au,137577,gold
A,1,26,Team Type 1,168,ffffff,0073b7,ffffff,Kevin Ellsworth,us,222307,
A,2,26,FUSION ECT,2854,ffffff,000000,ffffff,Troels Vest &#128304;,dk,402078,
A,1,24,BRT,4,ffffff,050505,ff8100,Scott McGonigle [BRT],gb-sct,1916,
A,1,22,ZHR,1979,ff0000,03228c,03228c,Rick Sorenson,us,197869,
A,1,22,,0,00dd00,,,Christopher Dame &#129354;,us,153464,bronze
A,2,20,BRT,4,ffffff,050505,ff8100,Keith Robertson &lt;BRT&gt; &#9889;,gb,894741,bronze
A,2,20,VS CYCLES,783,ffffff,0073b7,ffffff,Paul Waddington,gb,247818,
A,1,20,TFC,10,111111,f3f300,111111,Mark Read,gb,163116,
A,1,19,Team X,2,f5f7f6,111111,00a65a,Casey Schumm &#127829;&#128304;,us,1412,gold
A,1,19,Team X,2,f5f7f6,111111,00a65a,SCOTTIE WEISS,us,745,gold
A,1,19,,0,00dd00,,,Alex Higham,gb,196430,gold
A,2,18,FinishStrong,1740,ffffff,0073b7,ffffff,Robby Parker,us,66794,
A,1,18,,0,00dd00,,,Mike Sleeman1586,nz,996075,
A,1,18,,0,00dd00,,,Katie Kansas,us,97559,
A,1,16,TrisportWAY,987,ffffff,0073b7,ffffff,Serge Faberovsky,ru,86272,silver
A,1,16,Race3R,791,000000,2bc3f4,ffffff,Jero Nefkens,nl,78992,
A,2,16,KirchmairCycling,2991,210606,f2e80d,000103,Lucas Dyck2828,de,853191,
A,1,16,Vikings,90,c2c2c2,0073b7,ee6331,Martin Lund,dk,97466,
A,1,14,Sz,32,f3f300,0073b7,f3f300,Jonas Eriksson,se,305590,bronze
A,1,14,,0,00dd00,,,Sebastian Urrutia,de,263595,
A,1,14,VelociT,1071,ffffff,0073b7,ffffff,Fred Goulet,ca,350021,bronze
A,1,12,GGCC,1611,ffffff,0073b7,ffffff,Sandy Taylor ,gb-sct,212882,
A,1,12,,0,00dd00,,,Sean Barrie,us,62835,
A,1,12,,0,00dd00,,,Chris Thomas,gb,468616,
A,1,12,BRT,4,ffffff,050505,ff8100,Sean Casson,gb,161615,
A,1,10,,0,00dd00,,,Fred Z,de,2078,
A,1,10,RCC,265,fc2097,d2d6de,111111,Benjamin Craggs,gb,156829,
A,1,10,,0,00dd00,,,Eric Florio,us,7605,
A,1,10,Race3R,791,000000,2bc3f4,ffffff,Roman T &#10026;,de,21486,
A,1,10,,0,00dd00,,,drjoj r,ca,455480,
A,1,10,,0,00dd00,,,Jim Anchower,us,82,
A,1,10,,0,00dd00,,,James Keyzer,us,171834,
A,1,8,,0,00dd00,,,Piotr Gie ,pl,98532,
A,1,8,,0,00dd00,,,Trevor Wurtele,ca,24626,
A,1,8,,0,00dd00,,,Lucas Versluys,ca,815941,
A,1,8,,0,00dd00,,,Tom Grimshaw,gb,169410,
A,1,8,,0,00dd00,,,Fred Doucette,us,248424,
A,1,8,,0,00dd00,,,J Rose,us,1111780,
A,1,7,SWOZR,2971,ffffff,0073b7,ffffff,Ryan  Phelps1329,ca,84234,
A,1,6,,0,00dd00,,,Chrigi M&uuml;ri,ch,1056293,
