category,events,points,tname,tid,tc,tbc,tbd,name,flag,zwid,podiums
A,5,78,Vision,9,ffffff,2ea9e0,000000,Mark Roberts,gb,107986,
A,3,73,Vikings,90,c2c2c2,0073b7,ee6331,Maxim Golev [V],no,811341,gold gold gold
A,3,72,,0,00dd00,,,Ian Notley,gb,461575,bronze bronze
A,2,56,ZRG,1942,1bc1f1,5b5b5b,1bc1f1,Rene Damitz &#128692;&zwj;&#9794;&#65039;,de,428886,silver silver
A,4,50,,0,00dd00,,,Marcel Schubert,de,419921,
A,2,44,BRT,4,ffffff,050505,ff8100,Keith Robertson &lt;BRT&gt; &#9889;,gb,894741,bronze bronze
A,1,35,,0,00dd00,,,il pinguino,gb,53921,gold
A,2,34,FUCM,3089,ffffff,37d96e,ffffff,Jacob Nielsen,dk,924946,silver
A,1,27,,0,00dd00,,,Rudi Overmeire,eu,53049,gold
A,1,27,BRT,4,ffffff,050505,ff8100,Chris Smith [BRT],gb-wls,15080,gold
A,1,27,Sz,32,f3f300,0073b7,f3f300,Andreas Hertz,se,47850,gold
A,1,26,Sz,32,f3f300,0073b7,f3f300,Torbj&ouml;rn Jansson,se,17637,
A,2,26,TeamNL,2281,ffffff,ffa500,ffa500,Erwin Ton,nl,521148,
A,1,24,,0,00dd00,,,Johan Ursem,nl,173294,
A,1,24,Team Italy,588,dd4b39,ffffff,00a65a,FinK Andi,it,495,silver
A,1,24,BRT,4,ffffff,050505,ff8100,Theo Miglakis &#127808; [The Mig],gr,249545,silver
A,1,24,Innovation,975,000000,52ff33,000000,Sean Vintin,au,137577,silver
A,1,22, VEGAN ,1845,ffffff,00a65a,0adb2c,Max Powersimon &#9419;,de,19498,bronze
A,1,22,KISS RT,36,f56600,012350,84b7ca,James Hodges,eu,16708,
A,1,22,Dragstrip,3592,000000,e66c2c,000000,Allan Steen Olesen,dk,95290,bronze
A,1,22,,0,00dd00,,,Fredrik Gustafsson,se,616671,bronze
A,1,20,MarSting Story,3253,ffffff,0073b7,ffffff,Seth Stingley,us,942020,
